Unix,Date,Symbol,Open,High,Low,Close,Volume ADA,Volume USDT,tradecount
1609459200000,2021-01-01,ADAUSDT,0.18134,0.18473,0.17,0.17509,462201570.9,82720467.010267,178824
1609545600000,2021-01-02,ADAUSDT,0.17505,0.18457,0.16793,0.17742,660303281.2,117077280.526554,231432
1609632000000,2021-01-03,ADAUSDT,0.1774,0.2096,0.17255,0.20615,1201451449.3,230834619.4761728,403926
1609718400000,2021-01-04,ADAUSDT,0.20625,0.23992,0.19203,0.22528,1463415575.6,315299480.49144566,548636
1609804800000,2021-01-05,ADAUSDT,0.22518,0.26429,0.20696,0.25873,1478887679.33,349709110.7622226,614385
1609891200000,2021-01-06,ADAUSDT,0.25889,0.34772,0.25347,0.33309,2059110042.76,611715688.0606145,893919
1609977600000,2021-01-07,ADAUSDT,0.33311,0.3553,0.2785,0.29928,1411321698.55,453119832.6300348,654373
1610064000000,2021-01-08,ADAUSDT,0.29917,0.32165,0.26175,0.30389,1284205249.4,380368302.98094094,531917
1610150400000,2021-01-09,ADAUSDT,0.30392,0.33851,0.29583,0.33062,820267450.7,259644112.080644,364494
1610236800000,2021-01-10,ADAUSDT,0.33062,0.3412,0.27948,0.30153,908667596.0,285668888.341356,409748
1610323200000,2021-01-11,ADAUSDT,0.30154,0.30397,0.2288,0.2757,1530569582.3,404536667.170069,534981
1610409600000,2021-01-12,ADAUSDT,0.27563,0.31442,0.2628,0.28888,1059013244.8,303626067.858419,422638
1610496000000,2021-01-13,ADAUSDT,0.28875,0.31587,0.27,0.3123,715473111.9,208192713.90953,296349
1610582400000,2021-01-14,ADAUSDT,0.31246,0.32455,0.29646,0.31201,656502674.0,204581244.1367,292444
1610668800000,2021-01-15,ADAUSDT,0.31203,0.33225,0.27739,0.30188,853517402.8,264651790.304994,383114
1610755200000,2021-01-16,ADAUSDT,0.30189,0.36696,0.30186,0.35071,1219589043.23,416047249.2075495,551624
1610841600000,2021-01-17,ADAUSDT,0.35057,0.3974,0.34076,0.38081,1422650839.29,529806343.19037527,738575
1610928000000,2021-01-18,ADAUSDT,0.38077,0.39724,0.36413,0.37123,636785470.4,239548962.448159,345702
1611014400000,2021-01-19,ADAUSDT,0.37132,0.39001,0.362,0.3672,606641543.0,226285256.536489,370018
1611100800000,2021-01-20,ADAUSDT,0.3672,0.3769,0.33033,0.37532,656351514.5,232444042.012948,346650
1611187200000,2021-01-21,ADAUSDT,0.37548,0.37945,0.3,0.30785,785029729.8,267771231.788664,404103
1611273600000,2021-01-22,ADAUSDT,0.30786,0.3598,0.28,0.34867,898752288.0,290516408.419131,465828
1611360000000,2021-01-23,ADAUSDT,0.34842,0.35763,0.33541,0.34583,418300948.7,145267535.31274,240273
1611446400000,2021-01-24,ADAUSDT,0.34575,0.36926,0.33613,0.35345,458536220.6,161447140.086898,234964
1611532800000,2021-01-25,ADAUSDT,0.35346,0.36415,0.34034,0.34308,407390809.5,144604820.562655,222342
1611619200000,2021-01-26,ADAUSDT,0.34284,0.35111,0.32404,0.3433,354428194.0,120457217.743562,202859
1611705600000,2021-01-27,ADAUSDT,0.34342,0.34396,0.30404,0.31144,422544056.1,135320113.262216,235043
1611792000000,2021-01-28,ADAUSDT,0.31142,0.35575,0.30431,0.34409,487709261.2,163965629.110074,309801
1611878400000,2021-01-29,ADAUSDT,0.34409,0.36836,0.3305,0.34752,666472809.5,235094446.385988,438205
1611964800000,2021-01-30,ADAUSDT,0.34764,0.37694,0.337,0.364,510716622.4,181305666.293532,329408
1612051200000,2021-01-31,ADAUSDT,0.36395,0.37752,0.338,0.34475,399794774.9,141712986.454822,322422
1612137600000,2021-02-01,ADAUSDT,0.34464,0.42411,0.33214,0.40876,844822325.13,315517729.2364468,424028
1612224000000,2021-02-02,ADAUSDT,0.40882,0.4559,0.38868,0.42498,1501769862.49,635347397.5646352,959565
1612310400000,2021-02-03,ADAUSDT,0.425,0.44961,0.41509,0.44189,541252929.4,233609024.225337,382672
1612396800000,2021-02-04,ADAUSDT,0.44213,0.45,0.41003,0.43934,536142412.3,231296073.096734,356573
1612483200000,2021-02-05,ADAUSDT,0.43903,0.56,0.43638,0.53917,1277155737.26,647988571.3729905,1006967
1612569600000,2021-02-06,ADAUSDT,0.53874,0.66706,0.51901,0.63444,1255504052.74,735618983.1258682,1012355
1612656000000,2021-02-07,ADAUSDT,0.63444,0.70888,0.58,0.66109,1596532267.5,1031252551.2483164,1258967
1612742400000,2021-02-08,ADAUSDT,0.66109,0.7238,0.63191,0.67638,1008667679.66,687200350.054749,834316
1612828800000,2021-02-09,ADAUSDT,0.67674,0.71206,0.6624,0.70562,590482327.7,405545405.29600704,641568
1612915200000,2021-02-10,ADAUSDT,0.70562,0.95306,0.70555,0.93966,1693219939.33,1404210349.2985792,1481690
1613001600000,2021-02-11,ADAUSDT,0.94041,0.98,0.86513,0.92796,975100368.22,903411072.753312,1176112
1613088000000,2021-02-12,ADAUSDT,0.9281,0.94825,0.866,0.92426,649547803.8,593210760.200747,660663
1613174400000,2021-02-13,ADAUSDT,0.92418,0.95053,0.82,0.91299,586878561.3,527921465.84935504,566194
1613260800000,2021-02-14,ADAUSDT,0.91303,0.919,0.80666,0.84364,539495015.4,464156537.89327,481065
1613347200000,2021-02-15,ADAUSDT,0.84288,0.911,0.6856,0.86143,932826536.9,773675700.779529,1016723
1613433600000,2021-02-16,ADAUSDT,0.86128,0.90591,0.83334,0.87,526075390.6,460384874.04045904,559396
1613520000000,2021-02-17,ADAUSDT,0.8699,0.89745,0.8215,0.89206,460328636.1,397664271.25875103,571034
1613606400000,2021-02-18,ADAUSDT,0.89206,0.9578,0.89202,0.91442,580074009.4,536478522.566534,645125
1613692800000,2021-02-19,ADAUSDT,0.91433,0.9456,0.87851,0.92581,547803715.8,503644913.65466094,534053
1613779200000,2021-02-20,ADAUSDT,0.92597,1.2,0.91329,1.11568,1480541916.53,1605889356.9768093,1562187
1613865600000,2021-02-21,ADAUSDT,1.1156,1.15172,1.0675,1.09894,636265765.2,708941857.790058,804446
1613952000000,2021-02-22,ADAUSDT,1.09955,1.146,0.831,1.09703,1333970209.1,1356545593.491317,1291551
1614038400000,2021-02-23,ADAUSDT,1.09728,1.142,0.81,0.96197,1625220448.7,1563316092.760008,1748705
1614124800000,2021-02-24,ADAUSDT,0.96136,1.077,0.8978,1.04902,946049063.3,959472420.8716048,986749
1614211200000,2021-02-25,ADAUSDT,1.04883,1.177,1.012,1.07691,961855836.2,1053858750.5424688,1065150
1614297600000,2021-02-26,ADAUSDT,1.07688,1.298,0.99,1.24303,1805727721.5,2078674172.965505,1842500
1614384000000,2021-02-27,ADAUSDT,1.24353,1.488,1.2271,1.31402,1994359638.5,2726382795.3645725,2344043
1614470400000,2021-02-28,ADAUSDT,1.314,1.3595,1.154,1.31203,1599172340.3,2000892510.566343,1836152
1614556800000,2021-03-01,ADAUSDT,1.31279,1.348,1.23131,1.29627,984011920.2,1262620102.616691,1302837
1614643200000,2021-03-02,ADAUSDT,1.29678,1.29998,1.18,1.2228,753904502.9,923673564.2911328,993914
1614729600000,2021-03-03,ADAUSDT,1.22281,1.26636,1.20865,1.21311,454913445.3,563382389.440149,529175
1614816000000,2021-03-04,ADAUSDT,1.21315,1.23052,1.06695,1.11239,748035034.3,859720613.297925,882082
1614902400000,2021-03-05,ADAUSDT,1.11261,1.1972,1.03374,1.15908,830654685.1,934727653.7310288,1132387
1614988800000,2021-03-06,ADAUSDT,1.15907,1.183,1.08493,1.129,394799528.8,442918849.66938895,671557
1615075200000,2021-03-07,ADAUSDT,1.12901,1.145,1.10562,1.13042,324367538.9,365845333.635412,381768
1615161600000,2021-03-08,ADAUSDT,1.13073,1.17835,1.105,1.11848,398514643.5,450421643.827803,455437
1615248000000,2021-03-09,ADAUSDT,1.11836,1.22,1.11083,1.1972,616039069.3,718499784.323591,731610
1615334400000,2021-03-10,ADAUSDT,1.19734,1.208,1.115,1.13261,384497300.9,446671691.449935,514521
1615420800000,2021-03-11,ADAUSDT,1.13226,1.14,1.1075,1.1243,301611714.1,338688320.679779,376289
1615507200000,2021-03-12,ADAUSDT,1.12417,1.128,1.02,1.03207,423021914.4,453536801.751492,535644
1615593600000,2021-03-13,ADAUSDT,1.03207,1.193,0.985,1.1,643811025.4,707355593.966,778819
1615680000000,2021-03-14,ADAUSDT,1.10016,1.10265,1.0519,1.05243,304362465.7,328663726.916662,388068
1615766400000,2021-03-15,ADAUSDT,1.05241,1.07078,1.00001,1.03103,400978353.1,415080286.21487296,485996
1615852800000,2021-03-16,ADAUSDT,1.03071,1.28,1.0,1.24924,1248716359.1,1458646287.627065,1590786
1615939200000,2021-03-17,ADAUSDT,1.24974,1.43,1.20353,1.377,1094860557.7,1409057696.603295,1700157
1616025600000,2021-03-18,ADAUSDT,1.3775,1.47299,1.22154,1.22925,1446280469.1,1975037678.43161,2144826
1616112000000,2021-03-19,ADAUSDT,1.22966,1.34286,1.18003,1.29474,812311179.7,1032218858.172991,1278982
