Unix,Date,Symbol,Open,High,Low,Close,Volume BNB,Volume USDT,tradecount
1609459200000,2021-01-01,BNBUSDT,37.3596,38.959,36.9555,37.7762,2435989.127,92358608.1130839,287020
1609545600000,2021-01-02,BNBUSDT,37.7637,38.8798,36.8,38.2331,3018062.206,114060050.8496281,342120
1609632000000,2021-01-03,BNBUSDT,38.2331,41.7017,37.763,41.2575,4903626.697,195224916.820531,499815
1609718400000,2021-01-04,BNBUSDT,41.256,43.2039,38.02,41.1333,5306248.166,214835112.08725193,546562
1609804800000,2021-01-05,BNBUSDT,41.13,41.8375,38.8014,41.8219,3513141.346,141831731.9587631,410985
1609891200000,2021-01-06,BNBUSDT,41.8271,42.267,40.4531,42.2417,3784444.687,156404649.3163699,417519
1609977600000,2021-01-07,BNBUSDT,42.244,44.9,41.366,43.5728,5026746.669,216717611.7697121,523288
1610064000000,2021-01-08,BNBUSDT,43.5728,43.722,40.2313,42.356,3548923.788,149951576.8513453,411558
1610150400000,2021-01-09,BNBUSDT,42.345,44.0552,41.5,43.8479,2720363.636,116290473.5386175,294683
1610236800000,2021-01-10,BNBUSDT,43.8479,45.162,40.0,42.4031,4277406.29,185165251.1320646,431771
1610323200000,2021-01-11,BNBUSDT,42.4033,42.5094,35.0374,38.1674,6332801.055,243017347.96947128,664128
1610409600000,2021-01-12,BNBUSDT,38.1623,40.1989,37.0,38.2541,3261261.81,125897888.047957,342953
1610496000000,2021-01-13,BNBUSDT,38.2703,40.4499,37.02,40.1114,3512089.385,135791180.057457,366040
1610582400000,2021-01-14,BNBUSDT,40.1114,42.0,39.5739,41.8723,3306689.933,135085613.30355,306640
1610668800000,2021-01-15,BNBUSDT,41.8721,42.5622,38.6616,40.8668,3431358.936,140633163.6256023,363002
1610755200000,2021-01-16,BNBUSDT,40.8951,44.12,40.625,43.142,3243054.414,138015822.2312169,362622
1610841600000,2021-01-17,BNBUSDT,43.1413,46.7228,40.9192,45.8675,3878914.299,169754085.7227767,445985
1610928000000,2021-01-18,BNBUSDT,45.8645,46.8888,44.0278,45.3412,3069449.938,139399114.1553898,366780
1611014400000,2021-01-19,BNBUSDT,45.3592,47.2187,41.7,42.5241,5151546.872,229455474.2432518,513040
1611100800000,2021-01-20,BNBUSDT,42.5241,43.0992,40.2,42.6069,3709936.492,154503844.311202,424497
1611187200000,2021-01-21,BNBUSDT,42.6056,42.7176,38.2,38.6343,3388587.657,137245296.2017336,428440
1611273600000,2021-01-22,BNBUSDT,38.6596,41.528,36.8518,40.8936,3088685.295,122212901.7638495,382460
1611360000000,2021-01-23,BNBUSDT,40.8938,41.88,39.4555,40.9109,2531809.648,103044289.6364261,244514
1611446400000,2021-01-24,BNBUSDT,40.9113,42.2,40.3144,41.8263,2340747.623,97017133.5978513,217223
1611532800000,2021-01-25,BNBUSDT,41.827,43.4241,40.5364,41.8347,2778238.02,117399838.4063164,336526
1611619200000,2021-01-26,BNBUSDT,41.8347,42.598,39.6955,41.8396,2758108.622,113401083.8483374,336515
1611705600000,2021-01-27,BNBUSDT,41.8397,42.0984,39.6102,40.8826,2638401.378,108149178.3593736,367923
1611792000000,2021-01-28,BNBUSDT,40.8957,43.085,40.317,42.5254,2984098.651,125825473.6606247,366517
1611878400000,2021-01-29,BNBUSDT,42.5277,44.0,41.8017,42.8618,3433689.484,147364483.4547029,481047
1611964800000,2021-01-30,BNBUSDT,42.8653,45.1071,42.5911,44.7849,2767954.291,121803577.410981,408399
1612051200000,2021-01-31,BNBUSDT,44.8022,45.8269,43.3,44.3292,2431692.198,107955886.1665317,356678
1612137600000,2021-02-01,BNBUSDT,44.3291,52.3736,43.4331,51.4781,6095055.413,294440153.8956684,674212
1612224000000,2021-02-02,BNBUSDT,51.4762,53.0,49.1572,51.0071,4675040.877,237619391.9434699,667934
1612310400000,2021-02-03,BNBUSDT,51.029,52.7,49.7823,52.12,2949735.036,150776117.8031686,462818
1612396800000,2021-02-04,BNBUSDT,52.12,57.0547,51.25,55.9599,4004741.294,215002299.8179948,579484
1612483200000,2021-02-05,BNBUSDT,55.9593,68.73,55.9202,67.7005,5040545.223,306515082.6292277,682891
1612569600000,2021-02-06,BNBUSDT,67.6217,75.5,61.7,72.8356,8482528.531,595983260.0097728,1151480
1612656000000,2021-02-07,BNBUSDT,72.8693,74.8199,64.1803,68.3542,5969908.442,413359634.3580308,851424
1612742400000,2021-02-08,BNBUSDT,68.355,79.8823,67.6152,79.8374,7860567.389,573806461.5287857,1279676
1612828800000,2021-02-09,BNBUSDT,79.8734,116.24,78.0381,107.3469,12487305.868,1222317019.460554,1979175
1612915200000,2021-02-10,BNBUSDT,107.3496,148.4,107.2811,128.9711,16613534.274,2139218096.5096064,2836233
1613001600000,2021-02-11,BNBUSDT,128.9463,132.8,117.7289,124.085,5920400.255,737374300.5875953,1185612
1613088000000,2021-02-12,BNBUSDT,124.1129,141.32,120.89,136.6139,5626020.824,740055607.987079,1155321
1613174400000,2021-02-13,BNBUSDT,136.7321,138.5067,125.0,133.3496,3785723.402,497454132.37548685,936880
1613260800000,2021-02-14,BNBUSDT,133.3498,139.0,128.4615,135.8623,4405507.885,588209671.8743159,919313
1613347200000,2021-02-15,BNBUSDT,135.8623,139.369,118.0,130.303,4772752.806,617209050.2792228,953125
1613433600000,2021-02-16,BNBUSDT,129.9493,133.4925,126.0,130.183,3258276.714,423640104.8636006,616879
1613520000000,2021-02-17,BNBUSDT,130.183,175.9997,126.7546,165.3233,10185662.26,1540919651.6330938,1654588
1613606400000,2021-02-18,BNBUSDT,165.3176,199.88,162.7969,195.6,11226893.373,2093727364.879095,2106653
1613692800000,2021-02-19,BNBUSDT,195.5549,348.6969,194.9279,333.111,20188858.198,5528652618.860825,4491728
1613779200000,2021-02-20,BNBUSDT,333.2212,335.0,223.0,253.0,13497656.247,3803591547.4482102,3476190
1613865600000,2021-02-21,BNBUSDT,253.01,309.4995,249.7044,295.2597,10646422.307,3016515097.588413,2525329
1613952000000,2021-02-22,BNBUSDT,294.9167,296.0,220.5,267.5147,12604399.402,3304868176.0392327,2806150
1614038400000,2021-02-23,BNBUSDT,267.1721,269.444,186.1,231.3646,15879767.559,3533975184.114267,3227858
