Unix,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USDT,tradecount
1609459200000,2021-01-01,BTCUSDT,28923.63,29600.0,28624.57,29331.69,54182.925011,1582526989.1618726,1314910
1609545600000,2021-01-02,BTCUSDT,29331.7,33300.0,28946.53,32178.33,129993.873362,4073842163.67154,2245922
1609632000000,2021-01-03,BTCUSDT,32176.45,34778.11,31962.99,33000.05,120957.56675,4057598425.492016,2369698
1609718400000,2021-01-04,BTCUSDT,33000.05,33600.0,28130.0,31988.71,140899.88569,4429010349.695345,2642408
1609804800000,2021-01-05,BTCUSDT,31989.75,34360.0,29900.0,33949.53,116049.997038,3743617144.6469154,2526851
1609891200000,2021-01-06,BTCUSDT,33949.53,36939.21,33288.0,36769.36,127139.20131,4431954248.519615,2591783
1609977600000,2021-01-07,BTCUSDT,36769.36,40365.0,36300.0,39432.28,132825.700437,5062569943.383372,2814686
1610064000000,2021-01-08,BTCUSDT,39432.48,41950.0,36500.0,40582.81,139789.957499,5568443208.731365,2925632
1610150400000,2021-01-09,BTCUSDT,40586.96,41380.0,38720.0,40088.22,75785.979675,3054779029.1617765,1998156
1610236800000,2021-01-10,BTCUSDT,40088.22,41350.0,35111.11,38150.02,118209.544503,4604034729.507071,2628050
1610323200000,2021-01-11,BTCUSDT,38150.02,38264.74,30420.0,35404.47,249131.539943,8426879770.740009,4431451
1610409600000,2021-01-12,BTCUSDT,35410.37,36628.0,32531.0,34051.24,133948.151996,4651302423.484116,2674145
1610496000000,2021-01-13,BTCUSDT,34049.15,37850.0,32380.0,37371.38,124477.914938,4322876606.419625,2514289
1610582400000,2021-01-14,BTCUSDT,37371.38,40100.0,36701.23,39144.5,102950.389421,3974826638.1450887,2297466
1610668800000,2021-01-15,BTCUSDT,39145.21,39747.76,34408.0,36742.22,118300.920916,4371588898.681637,2560801
1610755200000,2021-01-16,BTCUSDT,36737.43,37950.0,35357.8,35994.98,86348.431508,3178840336.1492844,2066363
1610841600000,2021-01-17,BTCUSDT,35994.98,36852.5,33850.0,35828.61,80157.727384,2843103040.240664,1860642
1610928000000,2021-01-18,BTCUSDT,35824.99,37469.83,34800.0,36631.27,70698.11875,2554843260.524399,1707766
1611014400000,2021-01-19,BTCUSDT,36622.46,37850.0,35844.06,35891.49,79611.307769,2935348499.344214,1939371
1611100800000,2021-01-20,BTCUSDT,35901.94,36415.31,33400.0,35468.23,89368.422918,3126721093.520776,2234539
1611187200000,2021-01-21,BTCUSDT,35468.23,35600.0,30071.0,30850.13,131803.182926,4281220573.9354296,2820752
1611273600000,2021-01-22,BTCUSDT,30851.99,33826.53,28850.0,32945.17,142971.684049,4483295872.022273,2707810
1611360000000,2021-01-23,BTCUSDT,32950.0,33456.0,31390.16,32078.0,64595.287675,2089098295.758437,1700056
1611446400000,2021-01-24,BTCUSDT,32078.0,33071.0,30900.0,32259.9,57978.037966,1864609665.3657017,1528287
1611532800000,2021-01-25,BTCUSDT,32259.45,34875.0,31910.0,32254.2,88499.226921,2958759288.5635686,2106548
1611619200000,2021-01-26,BTCUSDT,32254.19,32921.88,30837.37,32467.77,84972.20691,2708545364.494641,2010392
1611705600000,2021-01-27,BTCUSDT,32464.01,32557.29,29241.72,30366.15,95911.961711,2958081421.641559,2065953
1611792000000,2021-01-28,BTCUSDT,30362.19,33783.98,29842.1,33364.86,92621.145617,2953553214.065682,2060660
1611878400000,2021-01-29,BTCUSDT,33368.18,38531.9,31915.4,34252.2,231827.005626,8195593336.228466,4403349
1611964800000,2021-01-30,BTCUSDT,34246.28,34933.0,32825.0,34262.88,84889.68134,2884500062.938079,2201040
1612051200000,2021-01-31,BTCUSDT,34262.89,34342.69,32171.67,33092.98,68742.280384,2289641045.7580123,1707064
1612137600000,2021-02-01,BTCUSDT,33092.97,34717.27,32296.16,33526.37,82718.276882,2791776658.0056057,1810492
1612224000000,2021-02-02,BTCUSDT,33517.09,35984.33,33418.0,35466.24,78056.65988,2716321896.3176084,1789672
1612310400000,2021-02-03,BTCUSDT,35472.71,37662.63,35362.38,37618.87,80784.333663,2951232788.1843047,1881740
1612396800000,2021-02-04,BTCUSDT,37620.26,38708.27,36161.95,36936.66,92080.735898,3452669022.153292,2211866
1612483200000,2021-02-05,BTCUSDT,36936.65,38310.12,36570.0,38290.24,66681.334275,2509278291.7515864,1853253
1612569600000,2021-02-06,BTCUSDT,38289.32,40955.51,38215.94,39186.94,98757.311183,3922095148.92815,2291646
1612656000000,2021-02-07,BTCUSDT,39181.01,39700.0,37351.0,38795.69,84363.679763,3256521384.2406106,1976357
1612742400000,2021-02-08,BTCUSDT,38795.69,46794.45,37988.89,46374.87,138597.536914,5881536976.635699,3230961
1612828800000,2021-02-09,BTCUSDT,46374.86,48142.19,44961.09,46420.42,115499.861712,5386255398.017187,3119034
1612915200000,2021-02-10,BTCUSDT,46420.42,47310.0,43727.0,44807.58,97154.1822,4431650130.251104,2891592
1613001600000,2021-02-11,BTCUSDT,44807.58,48678.9,43994.02,47969.51,89561.081454,4185630934.4108953,2570949
1613088000000,2021-02-12,BTCUSDT,47968.66,48985.8,46125.0,47287.6,85870.035697,4080571908.9676614,2418841
1613174400000,2021-02-13,BTCUSDT,47298.15,48150.0,46202.53,47153.69,63768.097399,3007710147.41816,2058823
1613260800000,2021-02-14,BTCUSDT,47156.78,49707.43,47014.17,48577.79,73735.475533,3584808348.834733,2090070
1613347200000,2021-02-15,BTCUSDT,48580.47,49010.92,45570.79,47911.1,79398.156784,3782219060.664722,2313155
1613433600000,2021-02-16,BTCUSDT,47911.1,50689.18,47003.62,49133.45,88813.266298,4349983777.692368,2199849
1613520000000,2021-02-17,BTCUSDT,49133.45,52618.74,48947.0,52119.71,85743.637818,4365831514.815297,2514374
1613606400000,2021-02-18,BTCUSDT,52117.67,52530.0,50901.9,51552.6,60758.046954,3149973077.4874654,1891592
1613692800000,2021-02-19,BTCUSDT,51552.61,56368.0,50710.2,55906.0,79659.77802,4251167827.6842465,2339215
1613779200000,2021-02-20,BTCUSDT,55906.0,57700.46,53863.93,55841.19,80948.205314,4551890859.8512745,2642846
1613865600000,2021-02-21,BTCUSDT,55841.19,58352.8,55477.59,57408.57,58166.708511,3317998263.3478885,1950533
1613952000000,2021-02-22,BTCUSDT,57412.35,57508.47,47622.0,54087.67,134019.434944,7213386720.436797,3313083
1614038400000,2021-02-23,BTCUSDT,54087.67,54183.59,44892.56,48891.0,169375.025051,8215839131.243385,3825196
1614124800000,2021-02-24,BTCUSDT,48891.0,51374.99,46988.69,49676.2,91881.209252,4574033001.379536,2194532
1614211200000,2021-02-25,BTCUSDT,49676.21,52041.73,46674.34,47073.73,83310.673121,4152188728.1416154,2305679
1614297600000,2021-02-26,BTCUSDT,47073.73,48424.11,44106.78,46276.87,109423.200663,5086374532.734615,2371766
1614384000000,2021-02-27,BTCUSDT,46276.88,48394.0,45000.0,46106.43,66060.834292,3105897438.550972,1757720
1614470400000,2021-02-28,BTCUSDT,46103.67,46638.46,43000.0,45135.66,83055.369042,3708359965.45458,1838345
1614556800000,2021-03-01,BTCUSDT,45134.11,49790.0,44950.53,49587.03,85086.111648,4057515794.865728,2147223
1614643200000,2021-03-02,BTCUSDT,49595.76,50200.0,47047.6,48440.65,64221.06214,3120472069.909453,1855583
1614729600000,2021-03-03,BTCUSDT,48436.61,52640.0,48100.71,50349.37,81035.913705,4109521257.5407,2242131
1614816000000,2021-03-04,BTCUSDT,50349.37,51773.88,47500.0,48374.09,82649.716829,4079837240.8567615,2291936
1614902400000,2021-03-05,BTCUSDT,48374.09,49448.93,46300.0,48751.71,78192.496372,3727133104.837311,2054216
1614988800000,2021-03-06,BTCUSDT,48746.81,49200.0,47070.0,48882.2,44399.234242,2143910705.2915032,1476474
1615075200000,2021-03-07,BTCUSDT,48882.2,51450.03,48882.2,50971.75,55235.028032,2778875909.4491262,1758101
1615161600000,2021-03-08,BTCUSDT,50959.11,52402.78,49274.67,52375.17,66987.359664,3400847931.036074,1999401
1615248000000,2021-03-09,BTCUSDT,52375.18,54895.0,51789.41,54884.5,71656.737076,3861450964.654904,2194398
1615334400000,2021-03-10,BTCUSDT,54874.67,57387.69,53005.0,55851.59,84749.238943,4700197563.359213,2647284
1615420800000,2021-03-11,BTCUSDT,55851.59,58150.0,54272.82,57773.16,81914.812859,4612366201.00222,2509970
1615507200000,2021-03-12,BTCUSDT,57773.15,58081.51,54962.84,57221.72,73405.406047,4162054726.378839,2489931
1615593600000,2021-03-13,BTCUSDT,57221.72,61844.0,56078.23,61188.39,83245.091346,4933383453.245977,2559002
1615680000000,2021-03-14,BTCUSDT,61188.38,61724.79,58966.78,58968.31,52601.05275,3176397573.8846426,1829769
1615766400000,2021-03-15,BTCUSDT,58976.08,60633.43,54600.0,55605.2,102771.427298,5874241052.093372,2683815
1615852800000,2021-03-16,BTCUSDT,55605.2,56938.29,53271.34,56900.75,77986.694355,4304259207.645101,2241208
1615939200000,2021-03-17,BTCUSDT,56900.74,58974.73,54123.69,58912.97,70421.620841,3960992972.154291,2204296
1616025600000,2021-03-18,BTCUSDT,58912.97,60129.97,57023.0,57648.16,66580.406675,3900885761.2128057,2040947
1616112000000,2021-03-19,BTCUSDT,57641.0,59468.0,56270.74,58030.01,52392.652961,3052711147.9349246,1885830
1616198400000,2021-03-20,BTCUSDT,58030.01,59880.0,57820.17,58102.28,44476.941776,2616535093.051585,1724131
1616284800000,2021-03-21,BTCUSDT,58100.02,58589.1,55450.11,57351.56,48564.470274,2774223129.62381,1773546
1616371200000,2021-03-22,BTCUSDT,57351.56,58430.73,53650.0,54083.25,62581.626169,3527479514.3256526,1927345
1616457600000,2021-03-23,BTCUSDT,54083.25,55830.9,53000.0,54340.89,59789.365427,3264650774.817461,1740349
1616544000000,2021-03-24,BTCUSDT,54342.8,57200.0,51700.0,52303.65,83537.465021,4583159614.046461,2401988
1616630400000,2021-03-25,BTCUSDT,52303.66,53287.0,50427.56,51293.78,87400.534538,4536327184.957861,2099425
1616716800000,2021-03-26,BTCUSDT,51293.78,55073.46,51214.6,55025.59,63813.774692,3397036140.751637,1773150
1616803200000,2021-03-27,BTCUSDT,55025.59,56700.36,53950.0,55817.14,50105.475055,2767070175.861931,1528776
1616889600000,2021-03-28,BTCUSDT,55817.14,56559.75,54691.84,55777.63,39050.387511,2178777329.4452167,1551283
1616976000000,2021-03-29,BTCUSDT,55777.65,58405.82,54800.01,57635.47,67857.937398,3877131109.734646,1983437
1617062400000,2021-03-30,BTCUSDT,57635.46,59368.0,57071.35,58746.57,55122.443122,3221944107.4550304,1612744
1617148800000,2021-03-31,BTCUSDT,58746.57,59800.0,56769.0,58740.55,60975.542666,3575976083.804576,1928224
1617235200000,2021-04-01,BTCUSDT,58739.46,59490.0,57935.45,58720.44,47415.61722,2789238879.943373,1594431
1617321600000,2021-04-02,BTCUSDT,58720.45,60200.0,58428.57,58950.01,47382.418781,2811159761.2684674,1666356
1617408000000,2021-04-03,BTCUSDT,58950.01,59791.72,56880.0,57051.94,47409.852113,2783151686.164537,1606805
1617494400000,2021-04-04,BTCUSDT,57051.95,58492.85,56388.0,58202.01,41314.081973,2380139010.730232,1499113
1617580800000,2021-04-05,BTCUSDT,58202.01,59272.0,56777.77,59129.99,54258.01579,3155214764.164485,2035877
1617667200000,2021-04-06,BTCUSDT,59129.99,59495.24,57413.02,57991.15,54201.000727,3166911557.1481576,1960513
1617753600000,2021-04-07,BTCUSDT,57990.03,58655.0,55473.0,55953.45,71228.405659,4053294016.484514,2206433
1617840000000,2021-04-08,BTCUSDT,55953.44,58153.31,55700.0,58077.52,44283.147019,2531779682.552427,1661080
1617926400000,2021-04-09,BTCUSDT,58077.52,58894.9,57654.0,58142.54,40831.884911,2378340697.289584,1615962
1618012800000,2021-04-10,BTCUSDT,58142.55,61500.0,57900.01,59769.13,69906.424117,4197138552.4690337,2470398
1618099200000,2021-04-11,BTCUSDT,59769.13,60699.0,59232.52,60002.43,41156.715391,2462032926.617981,1746102
1618185600000,2021-04-12,BTCUSDT,59998.8,61300.0,59350.59,59860.0,56375.037117,3393042867.871467,1806298
1618272000000,2021-04-13,BTCUSDT,59860.01,63777.77,59805.15,63575.0,82848.688746,5154877375.389618,2703735
1618358400000,2021-04-14,BTCUSDT,63575.01,64854.0,61301.0,62959.53,82616.343993,5239081228.156977,2645625
1618444800000,2021-04-15,BTCUSDT,62959.53,63800.0,62020.0,63159.98,51649.70034,3248931738.293182,1938028
1618531200000,2021-04-16,BTCUSDT,63158.74,63520.61,60000.0,61334.8,91764.139884,5647292669.615493,2639940
1618617600000,2021-04-17,BTCUSDT,61334.81,62506.05,59580.91,60006.66,58912.256128,3605701810.675047,2268816
1618704000000,2021-04-18,BTCUSDT,60006.67,60499.0,50931.3,56150.01,124882.131824,6949379727.429153,3444089
1618790400000,2021-04-19,BTCUSDT,56150.01,57526.81,54221.58,55633.14,78229.042267,4398619580.647143,2390527
1618876800000,2021-04-20,BTCUSDT,55633.14,57076.24,53329.96,56425.0,72744.482151,4037701391.6195264,2148820
1618963200000,2021-04-21,BTCUSDT,56425.0,56757.91,53536.02,53787.63,66984.756909,3704549578.697303,2134946
1619049600000,2021-04-22,BTCUSDT,53787.62,55521.48,50500.0,51690.96,104656.631337,5594983857.318092,2744621
1619136000000,2021-04-23,BTCUSDT,51690.95,52131.85,47500.0,51125.14,132230.780719,6571097317.467918,2888237
1619222400000,2021-04-24,BTCUSDT,51110.56,51166.22,48657.14,50047.84,55361.512573,2762081002.878663,1164985
1619308800000,2021-04-25,BTCUSDT,50047.84,50567.91,46930.0,49066.77,58255.645004,2867858315.18732,1475479
1619395200000,2021-04-26,BTCUSDT,49066.76,54356.62,48753.44,54001.39,86310.802124,4555688503.3973875,2174544
1619481600000,2021-04-27,BTCUSDT,54001.38,55460.0,53222.0,55011.97,54064.034675,2949719328.3669896,1568666
1619568000000,2021-04-28,BTCUSDT,55011.97,56428.0,53813.16,54846.22,55130.459015,3020242787.5066776,1830042
1619654400000,2021-04-29,BTCUSDT,54846.23,55195.84,52330.94,53555.0,52486.019455,2823220335.476041,1763676
1619740800000,2021-04-30,BTCUSDT,53555.0,57963.0,53013.01,57694.27,68578.910045,3808187372.73938,2267648
1619827200000,2021-05-01,BTCUSDT,57697.25,58458.07,56956.14,57800.37,42600.351836,2460342954.842521,1743013
1619913600000,2021-05-02,BTCUSDT,57797.35,57911.02,56035.25,56578.21,36812.878863,2089763230.439627,1371638
1620000000000,2021-05-03,BTCUSDT,56578.21,58981.44,56435.0,57169.39,57649.931286,3337604542.6273804,2102128
1620086400000,2021-05-04,BTCUSDT,57169.39,57200.0,53046.69,53200.01,85324.625903,4705402064.300976,2492629
1620172800000,2021-05-05,BTCUSDT,53205.05,58069.82,52900.0,57436.11,77263.923439,4327994296.151437,2378119
1620259200000,2021-05-06,BTCUSDT,57436.11,58360.0,55200.0,56393.68,70181.671908,3992289527.7370977,2459881
1620345600000,2021-05-07,BTCUSDT,56393.68,58650.0,55241.63,57314.75,74542.747829,4239374487.474772,2361692
1620432000000,2021-05-08,BTCUSDT,57315.49,59500.0,56900.0,58862.05,69709.906028,4079553831.988064,2311378
1620518400000,2021-05-09,BTCUSDT,58866.53,59300.0,56235.66,58240.84,69806.11991,4043552701.506599,2170139
