Unix,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USDT,tradecount
1609459200000,2021-01-01,ETHUSDT,736.42,749.0,714.29,728.91,675114.09329,496072043.77740735,483671
1609545600000,2021-01-02,ETHUSDT,728.91,787.69,714.91,774.56,1352618.57668,1024472182.612087,824134
1609632000000,2021-01-03,ETHUSDT,774.44,1011.07,768.71,978.28,2813603.88615,2522411859.73161,1636501
1609718400000,2021-01-04,ETHUSDT,978.33,1162.97,890.0,1041.43,4245010.94004,4303634203.2196,2477862
1609804800000,2021-01-05,ETHUSDT,1041.45,1134.6,974.45,1099.56,2706995.67525,2857050280.0081425,1960503
1609891200000,2021-01-06,ETHUSDT,1100.16,1213.0,1057.26,1208.42,2390136.59334,2725262121.2885127,1600888
1609977600000,2021-01-07,ETHUSDT,1208.75,1289.0,1131.0,1224.87,1972922.82059,2406219891.3685346,1402699
1610064000000,2021-01-08,ETHUSDT,1224.86,1273.75,1065.0,1216.93,2131172.92341,2543427452.5801253,1718817
1610150400000,2021-01-09,ETHUSDT,1216.72,1304.37,1171.36,1276.0,1448871.11514,1780137376.4164698,1131871
1610236800000,2021-01-10,ETHUSDT,1276.0,1348.33,1170.0,1254.25,1951179.35003,2517791852.407762,1437486
1610323200000,2021-01-11,ETHUSDT,1254.24,1260.0,915.0,1087.01,4068784.65678,4290593989.580177,2557613
1610409600000,2021-01-12,ETHUSDT,1087.0,1150.02,1006.33,1050.16,2302645.34052,2491067092.5101275,1516625
1610496000000,2021-01-13,ETHUSDT,1050.36,1137.65,987.48,1129.89,1564202.39081,1664178969.0738044,1123983
1610582400000,2021-01-14,ETHUSDT,1129.79,1247.55,1086.7,1231.62,1555737.38556,1825860914.1737957,1255769
1610668800000,2021-01-15,ETHUSDT,1231.89,1256.98,1069.42,1168.53,1944038.83738,2302781118.95874,1519266
1610755200000,2021-01-16,ETHUSDT,1168.48,1298.0,1151.77,1227.83,1575384.43797,1927453174.6117928,1252473
1610841600000,2021-01-17,ETHUSDT,1227.83,1269.02,1165.0,1232.45,1317285.00579,1606424364.497042,1121278
1610928000000,2021-01-18,ETHUSDT,1232.5,1260.75,1182.58,1258.45,998050.11073,1223628040.7372608,940604
1611014400000,2021-01-19,ETHUSDT,1258.52,1438.3,1251.49,1365.36,2278852.55758,3120980923.9303093,1840481
1611100800000,2021-01-20,ETHUSDT,1365.36,1407.93,1235.42,1376.99,2219137.62144,2931656296.4670005,1852253
1611187200000,2021-01-21,ETHUSDT,1376.72,1390.0,1086.0,1110.96,2254164.80365,2787012514.78097,1823458
1611273600000,2021-01-22,ETHUSDT,1111.98,1273.79,1042.31,1232.62,2020593.21673,2360267831.3175545,1652010
1611360000000,2021-01-23,ETHUSDT,1232.61,1272.44,1195.9,1233.6,1009545.08258,1250575691.7627306,932871
1611446400000,2021-01-24,ETHUSDT,1233.46,1398.83,1220.0,1392.51,1510879.53817,1996765627.540519,1313986
1611532800000,2021-01-25,ETHUSDT,1392.19,1475.0,1293.69,1317.88,1885441.31289,2644267236.8971877,1661512
1611619200000,2021-01-26,ETHUSDT,1317.6,1378.49,1244.56,1365.97,1682923.65799,2216751668.392713,1423178
1611705600000,2021-01-27,ETHUSDT,1366.54,1373.9,1207.0,1239.03,2009772.08358,2554649901.074845,1737296
1611792000000,2021-01-28,ETHUSDT,1238.93,1360.0,1217.23,1329.69,1365269.71962,1790490878.1937945,1275024
1611878400000,2021-01-29,ETHUSDT,1329.44,1436.9,1285.35,1379.5,2253963.18682,3077996801.2317657,1714076
1611964800000,2021-01-30,ETHUSDT,1379.56,1406.0,1326.41,1378.05,1040042.2363,1414231402.543883,1013174
1612051200000,2021-01-31,ETHUSDT,1378.04,1380.74,1281.12,1312.55,958704.85571,1276842259.9713488,828176
1612137600000,2021-02-01,ETHUSDT,1312.45,1377.99,1269.99,1374.17,1096397.91862,1449463766.7237952,915584
1612224000000,2021-02-02,ETHUSDT,1374.09,1547.9,1360.28,1511.87,1944227.99878,2821617332.399785,1614541
1612310400000,2021-02-03,ETHUSDT,1511.93,1669.35,1508.39,1664.49,1535869.88801,2418887041.587561,1384979
1612396800000,2021-02-04,ETHUSDT,1664.67,1695.2,1554.44,1595.67,1646502.32962,2693099602.275608,1507993
1612483200000,2021-02-05,ETHUSDT,1595.53,1760.49,1591.0,1719.19,1194123.29946,2011685911.1668868,1326415
1612569600000,2021-02-06,ETHUSDT,1718.95,1743.67,1642.94,1676.35,1149808.33101,1940057857.9438984,1152167
1612656000000,2021-02-07,ETHUSDT,1676.35,1693.0,1490.46,1611.62,1281734.86814,2044371589.0232768,1263737
1612742400000,2021-02-08,ETHUSDT,1611.46,1775.57,1563.89,1750.15,1339777.09536,2255426926.0199776,1372788
1612828800000,2021-02-09,ETHUSDT,1749.68,1821.88,1708.49,1769.13,1185071.89593,2080818891.698905,1173421
1612915200000,2021-02-10,ETHUSDT,1769.14,1837.86,1680.0,1740.78,1219932.25474,2149076144.4076576,1279140
