Unix,Date,Symbol,Open,High,Low,Close,Volume XRP,Volume USDT,tradecount
1609459200000,2021-01-01,XRPUSDT,0.21953,0.25,0.216,0.23746,1490489727.4,351730366.621461,652631
1609545600000,2021-01-02,XRPUSDT,0.2374,0.23823,0.21084,0.22064,1134029208.3,256890338.077948,457387
1609632000000,2021-01-03,XRPUSDT,0.22064,0.23852,0.215,0.2254,1178158964.4,263559996.334464,476694
1609718400000,2021-01-04,XRPUSDT,0.2254,0.26091,0.218,0.23565,1518296110.4,355687350.480361,641712
1609804800000,2021-01-05,XRPUSDT,0.23568,0.24269,0.21774,0.22573,1184439077.1,271653748.912711,453045
1609891200000,2021-01-06,XRPUSDT,0.22577,0.2745,0.22139,0.24854,1776262975.4,429156673.649992,702825
1609977600000,2021-01-07,XRPUSDT,0.24856,0.37,0.2453,0.32389,3863585524.3,1218860817.9123778,1803983
1610064000000,2021-01-08,XRPUSDT,0.32389,0.3467,0.28487,0.32032,2029015562.5,642118744.307826,892278
1610150400000,2021-01-09,XRPUSDT,0.32049,0.3395,0.30523,0.32419,1177910308.9,378279817.30675906,536896
1610236800000,2021-01-10,XRPUSDT,0.32419,0.368,0.28708,0.31491,1717325406.4,567099789.194815,795387
1610323200000,2021-01-11,XRPUSDT,0.31487,0.31627,0.25343,0.28743,1963655151.8,549762215.5222031,873816
1610409600000,2021-01-12,XRPUSDT,0.28742,0.31003,0.27743,0.29254,1100343591.0,323719332.688381,500738
1610496000000,2021-01-13,XRPUSDT,0.29241,0.31,0.2848,0.30582,764981853.9,227883371.965583,377195
1610582400000,2021-01-14,XRPUSDT,0.3057,0.309,0.28334,0.29642,887903603.5,262513956.21671,386477
1610668800000,2021-01-15,XRPUSDT,0.29648,0.30337,0.261,0.27991,844991903.5,240600936.030388,364353
1610755200000,2021-01-16,XRPUSDT,0.27987,0.29666,0.27503,0.27924,749907244.4,213356467.698998,316456
1610841600000,2021-01-17,XRPUSDT,0.2792,0.28572,0.26846,0.27746,543053977.8,150338386.635075,231989
1610928000000,2021-01-18,XRPUSDT,0.27741,0.28875,0.27144,0.28528,536544377.1,151122037.34263,242097
1611014400000,2021-01-19,XRPUSDT,0.28529,0.33,0.28396,0.29396,1267033309.6,385029745.38853,497708
1611100800000,2021-01-20,XRPUSDT,0.29395,0.31184,0.28,0.29539,850365454.5,247845672.785467,371408
1611187200000,2021-01-21,XRPUSDT,0.29553,0.30797,0.25992,0.26802,908284050.2,257641399.418685,415134
1611273600000,2021-01-22,XRPUSDT,0.26786,0.27826,0.24021,0.27217,799861140.3,212058886.99997,329446
1611360000000,2021-01-23,XRPUSDT,0.27216,0.28356,0.26545,0.27167,446546595.4,122131855.331534,195769
1611446400000,2021-01-24,XRPUSDT,0.27169,0.27798,0.26804,0.27339,353391385.9,96574389.387948,156175
1611532800000,2021-01-25,XRPUSDT,0.27335,0.285,0.26679,0.26757,483145818.4,133188951.448691,214800
1611619200000,2021-01-26,XRPUSDT,0.26751,0.27095,0.258,0.26834,383692292.1,101956457.832435,169463
1611705600000,2021-01-27,XRPUSDT,0.26837,0.26871,0.24388,0.25039,468085255.1,119454680.469665,208679
1611792000000,2021-01-28,XRPUSDT,0.25058,0.27,0.24699,0.26407,496218434.0,128796097.246275,208762
1611878400000,2021-01-29,XRPUSDT,0.26413,0.31724,0.25915,0.2829,1695844598.8,482447395.073534,725747
1611964800000,2021-01-30,XRPUSDT,0.2829,0.5178,0.278,0.44372,5872830448.0,2280599179.36687,2525559
1612051200000,2021-01-31,XRPUSDT,0.44369,0.51,0.385,0.49507,4524657686.8,2080703862.129768,2281850
1612137600000,2021-02-01,XRPUSDT,0.49516,0.755,0.35928,0.37106,8608358082.6,4589983778.525757,4196624
1612224000000,2021-02-02,XRPUSDT,0.37123,0.41123,0.3401,0.37254,2091912007.8,784141246.925064,1116661
1612310400000,2021-02-03,XRPUSDT,0.37254,0.419,0.37254,0.39721,1388316884.0,539893636.834907,706054
1612396800000,2021-02-04,XRPUSDT,0.39721,0.48159,0.37885,0.44545,2283530912.6,960323654.471758,1148856
1612483200000,2021-02-05,XRPUSDT,0.44535,0.47222,0.4241,0.45219,1545115910.3,688979088.776413,869470
1612569600000,2021-02-06,XRPUSDT,0.45195,0.45688,0.42,0.44307,875771045.9,386022330.254404,536826
1612656000000,2021-02-07,XRPUSDT,0.44307,0.45089,0.39123,0.41849,1141620049.1,486363286.05907905,691245
1612742400000,2021-02-08,XRPUSDT,0.41848,0.4692,0.4125,0.45099,1149266957.3,505332982.467878,674777
1612828800000,2021-02-09,XRPUSDT,0.45098,0.49,0.44901,0.47636,1273716203.3,594781548.27888,761674
