Date,BTC,ETH,BNB,SOL,ADA,XRP
2021-01-01,29331.69,728.91,37.7762,1.842084050178528,0.17509,0.23746
2021-01-02,32178.33,774.56,38.2331,1.799275040626526,0.17742,0.22064
2021-01-03,33000.05,978.28,41.2575,2.1617519855499268,0.20615,0.2254
2021-01-04,31988.71,1041.43,41.1333,2.4850969314575195,0.22528,0.23565
2021-01-05,33949.53,1099.56,41.8219,2.157217025756836,0.25873,0.22573
2021-01-06,36769.36,1208.42,42.2417,1.929216980934143,0.33309,0.24854
2021-01-07,39432.28,1224.87,43.5728,2.3727450370788574,0.29928,0.32389
2021-01-08,40582.81,1216.93,42.356,3.2198870182037354,0.30389,0.32032
2021-01-09,40088.22,1276.0,43.8479,3.3853819370269775,0.33062,0.32419
2021-01-10,38150.02,1254.25,42.4031,3.466110944747925,0.30153,0.31491
2021-01-11,35404.47,1087.01,38.1674,3.1080899238586426,0.2757,0.28743
2021-01-12,34051.24,1050.16,38.2541,3.61339807510376,0.28888,0.29254
2021-01-13,37371.38,1129.89,40.1114,3.513782024383545,0.3123,0.30582
2021-01-14,39144.5,1231.62,41.8723,3.27816390991211,0.31201,0.29642
2021-01-15,36742.22,1168.53,40.8668,3.2501609325408936,0.30188,0.27991
2021-01-16,35994.98,1227.83,43.142,3.4470551013946533,0.35071,0.27924
2021-01-17,35828.61,1232.45,45.8675,3.81813907623291,0.38081,0.27746
2021-01-18,36631.27,1258.45,45.3412,3.7955150604248047,0.37123,0.28528
2021-01-19,35891.49,1365.36,42.5241,3.641865968704224,0.3672,0.29396
2021-01-20,35468.23,1376.99,42.6069,3.723577976226806,0.37532,0.29539
2021-01-21,30850.13,1110.96,38.6343,2.9905359745025635,0.30785,0.26802
2021-01-22,32945.17,1232.62,40.8936,3.346229076385498,0.34867,0.27217
2021-01-23,32078.0,1233.6,40.9109,3.5041120052337646,0.34583,0.27167
2021-01-24,32259.9,1392.51,41.8263,3.634411096572876,0.35345,0.27339
2021-01-25,32254.2,1317.88,41.8347,3.699980974197388,0.34308,0.26757
2021-01-26,32467.77,1365.97,41.8396,4.04734992980957,0.3433,0.26834
2021-01-27,30366.15,1239.03,40.8826,3.690587043762207,0.31144,0.25039
2021-01-28,33364.86,1329.69,42.5254,3.8220720291137695,0.34409,0.26407
2021-01-29,34252.2,1379.5,42.8618,3.8346760272979736,0.34752,0.2829
2021-01-30,34262.88,1378.05,44.7849,4.224276065826416,0.364,0.44372
2021-01-31,33092.98,1312.55,44.3292,4.264143943786621,0.34475,0.49507
2021-02-01,33526.37,1374.17,51.4781,4.611601829528809,0.40876,0.37106
